CODMES;CLIENTE;CLIENTE;NUMBANCOS;EDAD;BCOTCMAX;GENERO
201912;1;PROFESIONAL INDEPENDIENTE;3;44;FINANC_UNO;M
201912;2;DEPENDIENTE;2;38;BCP;F
201912;3;INFORMAL;1;53;IBK;F
201912;4;INFORMAL;4;70;FALABELLA;F
201912;5;INFORMAL;4;45;BBVA;F
201912;6;DEPENDIENTE;3;52;CREDISCOTIA;F
201912;7;DEPENDIENTE;1;24;IBK;F
201912;8;INFORMAL;3;23;FALABELLA;F
201912;9;DEPENDIENTE;2;22;IBK;M
201912;10;INFORMAL;2;47;IBK;F
201912;11;DEPENDIENTE;4;61;RIPLEY;F
201912;12;DEPENDIENTE;4;37;SCOTIA;M
201912;13;INFORMAL;3;46;FINANC_UNO;M
201912;14;DEPENDIENTE;1;27;BCP;M
201912;15;PROFESIONAL INDEPENDIENTE;1;53;RIPLEY;F
201912;16;INFORMAL;1;71;SCOTIA;M
201912;17;INFORMAL;1;23;IBK;M
201912;18;INFORMAL;1;34;IBK;F
201912;19;INFORMAL;5;59;BCP;M
201912;20;INFORMAL;1;39;IBK;M
201912;21;DEPENDIENTE;1;32;BCP;F
201912;22;DEPENDIENTE;1;34;IBK;F
201912;23;DEPENDIENTE;1;24;BCP;M
201912;24;DEPENDIENTE;1;26;IBK;F
201912;25;PROFESIONAL INDEPENDIENTE;1;32;BCP;M
201912;26;INFORMAL;3;49;CREDISCOTIA;F
201912;27;DEPENDIENTE;2;29;FINANC_UNO;F
201912;28;INFORMAL;1;54;FALABELLA;M
201912;29;DEPENDIENTE;2;39;FALABELLA;M
201912;30;INFORMAL;4;60;BCP;M
201912;31;INFORMAL;3;42;IBK;F
201912;32;DEPENDIENTE;2;30;BBVA;F
201912;33;DEPENDIENTE;1;31;IBK;F
201912;34;INFORMAL;2;34;FALABELLA;M
201912;35;DEPENDIENTE;3;31;FALABELLA;F
201912;36;INFORMAL;1;35;CENCOSUD;F
201912;37;INFORMAL;1;23;IBK;F
201912;38;DEPENDIENTE;1;22;IBK;M
201912;39;PROFESIONAL INDEPENDIENTE;2;23;BBVA;M
201912;40;DEPENDIENTE;1;47;FINANC_UNO;M
201912;41;INFORMAL;1;52;CENCOSUD;F
201912;42;DEPENDIENTE;2;24;BIF;F
201912;43;INFORMAL;1;30;BCP;F
201912;44;INFORMAL;1;32;IBK;F
201912;45;INFORMAL;1;34;FINANC_UNO;F
201912;46;NO LABORA;3;30;FALABELLA;M
201912;47;PROFESIONAL INDEPENDIENTE;1;38;IBK;F
201912;48;RENTISTA 1 CATEGORIA;3;40;CREDISCOTIA;F
201912;49;INFORMAL;1;43;BCP;F
201912;50;MICROEMPRESARIO FORMAL - INDEPENDIENTE;3;37;BCP;M
201912;51;INFORMAL;1;30;IBK;F
201912;52;INFORMAL;3;27;FINANC_UNO;F
201912;53;INFORMAL;4;35;IBK;M
201912;54;DEPENDIENTE;1;34;IBK;M
201912;55;DEPENDIENTE;1;38;FINANC_UNO;M
201912;56;PROFESIONAL INDEPENDIENTE;2;47;IBK;F
201912;57;INFORMAL;2;46;FALABELLA;F
201912;58;INFORMAL;3;60;CREDISCOTIA;F
201912;59;DEPENDIENTE;1;68;BBVA;M
201912;60;INFORMAL;4;41;FINANC_UNO;F
201912;61;DEPENDIENTE;1;33;IBK;F
201912;62;DEPENDIENTE;4;23;CENCOSUD;F
201912;63;INFORMAL;1;25;IBK;M
201912;64;INFORMAL;1;48;IBK;F
201912;65;INFORMAL;1;52;IBK;F
201912;66;DEPENDIENTE;1;24;IBK;F
201912;67;INFORMAL;1;49;BBVA;M
201912;68;INFORMAL;7;68;SCOTIA;M
201912;69;DEPENDIENTE;1;24;IBK;F
201912;70;DEPENDIENTE;2;26;BCP;F
201912;71;DEPENDIENTE;1;32;FINANC_UNO;M
201912;72;INFORMAL;1;25;IBK;F
201912;73;INFORMAL;4;31;BCP;F
201912;74;DEPENDIENTE;3;43;CENCOSUD;F
201912;75;INFORMAL;3;38;IBK;F
201912;76;INFORMAL;3;37;BCP;M
201912;77;DEPENDIENTE;3;28;CENCOSUD;F
201912;78;MICROEMPRESARIO FORMAL - INDEPENDIENTE;2;60;IBK;F
201912;79;INFORMAL;1;36;IBK;M
201912;80;DEPENDIENTE;1;25;IBK;F
201912;81;INFORMAL;2;57;CREDISCOTIA;M
201912;82;PROFESIONAL INDEPENDIENTE;2;35;SCOTIA;M
201912;83;PROFESIONAL INDEPENDIENTE;2;31;BBVA;F
201912;84;DEPENDIENTE;1;28;IBK;F
201912;85;DEPENDIENTE;3;37;BCP;M
201912;86;DEPENDIENTE;1;25;BBVA;F
201912;87;DEPENDIENTE;2;56;SCOTIA;M
201912;88;DEPENDIENTE;2;27;FALABELLA;M
201912;89;INFORMAL;1;54;IBK;F
